Time,IndoorConcentration,logIndoorConcentration,IndoorOutdoorPressure
85.53471,224.54695,2.35130716,-13.54494
85.71458,179.72798,2.254615693,-11.62591
85.71458,193.67941,2.287083453,-11.62591
85.73857,172.22909,2.236106507,-11.62591
85.74456,186.87809,2.271558387,-11.62591
85.79453,199.25998,2.299420082,-11.62591
85.8345,159.14963,2.201805633,-6.58208
85.8345,152.87148,2.18432647,-6.58208
85.8345,165.42777,2.218608415,-6.58208
85.85848,140.00129,2.146132037,-6.58208
85.89445,146.20096,2.164950224,-6.58208
85.95441,132.64191,2.122680767,-2.6591
85.95441,126.36377,2.101622574,-2.6591
85.95441,120.08563,2.079491041,-2.6591
86.01437,114.02548,2.057001909,-3.37237
86.07433,97.06577,1.987066104,-4.82438
86.09831,105.1576,2.021840666,-0.57024
86.09831,90.82251,1.9581935,-0.57024
86.19424,75.09227,1.875595233,-0.57024
86.22422,82.24238,1.91509567,-0.57024
86.37411,67.94216,1.83213935,0.81991
87.03364,68.04182,1.832775922,0.29587
87.03364,72.30199,1.859150251,0.29587
87.21352,79.80088,1.902007681,0.29587
87.4806,91.37422,1.960823683,-8.59168
87.57326,111.36599,2.046752582,-8.59168
87.60657,101.71625,2.007390341,-8.59168
87.95299,91.13641,1.959691917,-3.27047
87.96298,82.76556,1.917849658,-3.27047
88.0829,67.46258,1.829062946,-1.94583
88.11288,75.44106,1.877607782,0.98367
88.23279,59.04813,1.771206148,-0.34946
88.35271,49.38676,1.693610535,3.8792
88.44264,41.56525,1.618730397,3.8792
88.66448,34.8424,1.542108062,5.08497
89.00025,26.053,1.415857739,7.86162
89.40796,20.50731,1.311908697,12.96489
90.09147,17.71702,1.248390675,8.16448
90.81096,16.32188,1.212770181,8.03994
91.53045,16.49627,1.217385756,6.3247
92.24993,16.06029,1.205753383,9.05889
92.96942,16.84506,1.226472562,0.47188
93.62895,20.07133,1.302576151,-2.17509
94.04865,26.34947,1.420771884,-3.57616
94.76814,22.07684,1.34393691,1.38537
95.48763,20.94329,1.321044906,1.33521
96.14716,24.43115,1.38794391,1.539
96.56686,32.62761,1.513585263,-2.2224
97.16644,30.5785,1.485416178,2.62492
97.41826,23.96029,1.37949207,1.24205
97.88592,18.41459,1.265162054,4.08865
98.60541,16.06029,1.205753383,3.86222
99.14503,17.54263,1.244094704,0.49967
99.29492,26.91625,1.430014553,-3.67805
99.56473,35.54869,1.550823601,-3.67805
99.62469,49.9797,1.698793645,-3.67805
99.71034,43.90086,1.642473028,-5.10459
100.28422,35.85388,1.554536161,-3.4335
100.76388,34.10995,1.532881083,-0.62119
100.79386,27.17783,1.434214778,-0.62119
101.11506,18.86303,1.275611455,3.79429
101.62327,13.70599,1.136910411,10.15427
101.66324,18.93777,1.277328838,10.15427
101.84311,25.5647,1.407640701,1.07707
101.95103,36.20266,1.558740482,-4.17055
102.08294,45.44549,1.65749079,-4.17055
102.1429,53.46756,1.728090365,-4.17055
102.20285,62.44879,1.795524028,-5.89711
102.44268,77.35938,1.88851298,-14.88657
102.44268,71.25563,1.852819184,-14.88657
102.44268,83.63752,1.922401147,-14.88657
102.46994,92.65839,1.96688475,-14.88657
102.50264,116.39846,2.065947234,-14.88657
102.50264,108.50594,2.035453514,-14.88657
102.50264,125.6662,2.099218483,-14.88657
102.5626,101.77438,2.007638465,-14.88657
102.86238,93.22913,1.969551631,-2.41455
102.86238,86.95099,1.939274531,-2.41455
102.89665,63.48269,1.802655321,-2.41455
102.92234,80.14966,1.903901684,-2.41455
102.92234,73.87152,1.868477035,-2.41455
102.9823,54.8627,1.739277177,-2.41455
103.04226,47.451,1.676245369,-2.41455
103.1262,39.34174,1.594853564,0.05812
103.19215,32.27883,1.508917785,0.05812
103.52192,26.26227,1.419332262,6.1243
104.03155,20.50731,1.311908697,5.12573
104.36132,14.66515,1.166286509,6.47754
105.08081,11.17729,1.048336519,4.33773
105.80029,11.0029,1.041507166,4.43538
106.52835,16.32188,1.212770181,-2.52941
106.75961,22.60002,1.354108823,-1.07972
106.87953,30.5349,1.484796502,-6.32734
106.98745,41.12054,1.614058809,-6.32734
107.0594,54.8627,1.739277177,-7.19345
107.0594,48.58456,1.686498274,-7.19345
107.11936,63.66954,1.803931712,-7.19345
107.17931,82.06799,1.914173797,-9.1513
107.17931,75.78984,1.87961099,-9.1513
107.17931,70.73245,1.849618701,-9.1513
107.17931,98.46091,1.993263845,-9.1513
107.23927,90.96202,1.958860096,-9.1513
107.29923,101.94877,2.00838199,-10.40316
107.29923,108.22691,2.034335259,-10.40316
107.35919,117.20815,2.068957811,-13.3674
107.35919,125.6662,2.099218483,-13.3674
107.41914,130.20041,2.114612352,-13.3674
107.49109,137.49003,2.138271207,-13.3674
107.53906,144.50063,2.159869741,-13.3674
107.58702,150.25559,2.176830638,-9.68989
107.65897,163.68384,2.214005805,-9.68989
107.65897,157.4057,2.197020455,-9.68989
107.71893,172.57788,2.23698513,-13.05245
107.77889,181.47191,2.25880941,-15.39604
