Time,AirExchangeRate,AttenuationGroundwater,ConstAe,EntryRate,ExitRate,IndoorConcentration,IndoorOutdoorPressure,Pathway,logIndoorConcentration,logAttenuationGroundwater
6.289907564262463,0.5158668577668347,7.723199391594379e-05,No,632894.5512211404,632883.0842481346,4089.447207288189,-0.6516325761936517,Yes,3.6116646060391875,-4.112202752737526
6.367564875742713,0.5137105048928282,7.363182953025308e-05,No,601116.0580364257,600859.1121870846,3898.8178910379206,-0.6089029168747445,Yes,3.590932950303559,-4.132934408473154
6.445222187222963,0.5113526938933132,6.948769318221637e-05,No,564806.0536021658,564439.0550905747,3679.3851669061983,-0.5603329881653418,Yes,3.56577525320385,-4.158092105572862
6.600536810183463,0.5065052216004912,6.019887857157684e-05,No,484304.914671051,484351.8260112594,3187.5408541743504,-0.4521996366568747,Yes,3.503455759756923,-4.22041159901979
6.755851433143962,0.5022694890538353,5.06910205393599e-05,No,403874.1357179377,404442.1826695695,2684.098155032598,-0.3402871498319016,Yes,3.428798393542253,-4.295068965234459
6.911166056104463,0.4995905444188119,4.1917825065779774e-05,No,332661.4898556328,332660.75161641964,2219.5559632632994,-0.23765015585407384,Yes,3.3462660996790397,-4.3776012590976725
6.9830872490135505,0.4991402109849256,3.863750940678823e-05,No,306352.05478503,306351.7006393634,2045.8626914660354,-0.1968951136092555,Yes,3.3108764825825476,-4.412990876194165
7.05500844192264,0.4993401211610373,3.570159128050879e-05,No,283140.5413527647,283186.56759420026,1890.4053275734577,-0.15909098820083284,Yes,3.276554932562365,-4.4473124262143475
7.126929634831728,0.5002240233363513,3.266966380720447e-05,No,260136.753515018,259595.89685352804,1729.8642524343234,-0.11809025462823275,Yes,3.238012024093068,-4.485855334683644
7.1988508277408165,0.5016845317119722,2.975240604463761e-05,No,238127.91455762344,237105.3845255641,1575.394957972589,-0.07458743844505507,Yes,3.1973894511826906,-4.526477907594022
7.270772020649905,0.5036104870813891,2.728409986179587e-05,No,218333.34893303734,218269.47763970806,1444.6977259790674,-0.029570446958727906,Yes,3.1597769891882175,-4.564090369588495
7.342693213558992,0.505890730238091,2.5177331641416704e-05,No,201733.9712926613,202327.5560689842,1333.1439905593934,0.0159728125233205,Yes,3.124877059337459,-4.5989902994392535
7.3931997996536705,0.507643941193709,2.3905225039585585e-05,No,192770.59708685614,192770.53696472448,1265.7857297343132,0.047738203398447504,Yes,3.102360195199661,-4.621507163577052
7.443706385748349,0.5094785556135475,2.2895818975563398e-05,No,185320.34814730613,185297.9886016717,1212.3375070453078,0.0789338063874245,Yes,3.0836235414823903,-4.640243817294323
7.544719557937706,0.5132380097012611,2.136753451793526e-05,No,174205.4270328203,174205.49095736074,1131.41458520554,0.13824713363396032,Yes,3.0536217729844286,-4.6702455857922835
7.633927589166856,0.5164547105728783,2.0403357388761398e-05,No,167381.3833067684,167387.29581273935,1080.361242305672,0.18540827612956126,Yes,3.0335689955869602,-4.690298363189752
7.723135620396005,0.5193529530125065,1.9709694052144065e-05,No,162474.04676766766,162603.9538959134,1043.631650709017,0.22570464497712225,Yes,3.0185472416813797,-4.705320117095333
7.812343651625153,0.521720614559622,1.919321470154058e-05,No,158978.76256549972,159064.89098619643,1016.2839812930728,0.2572510402422562,Yes,3.007015080266418,-4.716852278510294
7.901551682854301,0.5233455727537015,1.885389893532801e-05,No,156645.94178519724,156739.45879177641,998.3171537884372,0.2781622619905768,Yes,2.9992685335308686,-4.724598825245844
7.990759714083451,0.5240157051342214,1.8673227501463288e-05,No,155364.24670116394,155436.24824448882,988.750570651156,0.28655311028769714,Yes,2.9950867471561264,-4.728780611620586
8.079967745312599,0.5219040612929612,1.8648562849448667e-05,No,154813.95394790015,154605.3999060973,987.4445731339913,0.2856949719245692,Yes,2.9945127273287433,-4.729354631447969
8.169175776541747,0.515138392135058,1.8827366159969825e-05,No,154521.3565670148,154064.33034205812,996.9122388226493,0.2825790110377477,Yes,2.9986569277473096,-4.725210431029403
8.24946300464798,0.5058709287229559,1.9219802895825986e-05,No,154458.7618437971,154446.2134650648,1017.691830700478,0.27808951943599153,Yes,3.00761628832703,-4.716251070449683
8.329750232754215,0.4943434545173505,1.9695419767890867e-05,No,154532.00357407687,154661.6513787336,1042.8758249311818,0.2721770904117828,Yes,3.018232600125781,-4.705634758650931
8.410037460860448,0.481280213863256,2.0241750926303603e-05,No,154745.79150283872,154751.43954141598,1071.804152645433,0.2650090260870007,Yes,3.0301154353606097,-4.6937519234161025
8.490324688966684,0.4674054511056866,2.0884462700781405e-05,No,155062.11126481887,155062.1113466128,1105.8358503650343,0.2567526285835242,Yes,3.0436906653308133,-4.680176693445899
8.570611917072915,0.4534434105896567,2.158318384961477e-05,No,155477.27192668,155463.06252576635,1142.8332539783564,0.24757520002323255,Yes,3.0579828689256017,-4.665884489851111
8.731186373285382,0.4281544736622712,2.302393802368879e-05,No,156591.68882448212,156591.68856893995,1219.1214324237853,0.22712645821971955,Yes,3.086046966327973,-4.63782039244874
8.891760829497848,0.4112073578412136,2.4195967060308146e-05,No,157988.95731360235,158049.263028254,1281.1805691577165,0.20500121765149448,Yes,3.1076103433764435,-4.616257015400269
9.052335285710317,0.4082150163045569,2.465879522332277e-05,No,159701.78725078533,159900.36087002006,1305.687399070128,0.18125418147014727,Yes,3.1158392128432157,-4.608028145933496
9.132876188662626,0.4123393836801836,2.459702122115508e-05,No,161111.29347309185,161111.27952391034,1302.4164551537688,0.16372750863877727,Yes,3.1147498745977487,-4.609117484178964
9.21341709161494,0.4193851127671063,2.446869964074595e-05,No,163052.5768804867,163009.34912062396,1295.6218056564367,0.14192747497505578,Yes,3.1124782486902327,-4.6113891100864794
9.293957994567254,0.4287113050378745,2.4299051451034272e-05,No,165557.0832342319,165478.99324450988,1286.6389051710112,0.116990472099654,Yes,3.109456679386463,-4.614410679390249
9.374498897519569,0.4396770619650382,2.414738216407331e-05,No,168660.13151028668,168652.38141923436,1278.6079906426496,0.09005289163324244,Yes,3.1067374142235815,-4.617129944553131
9.455039800471884,0.4516414850211464,2.4034340857151292e-05,No,172427.52679712113,172430.72581926055,1272.6224342241064,0.06225112519649347,Yes,3.1046995748595467,-4.619167783917166
9.535580703424195,0.4639636756787492,2.3998029716673376e-05,No,176840.8794427632,176867.55844846246,1270.6997531629067,0.03472156441007765,Yes,3.104042945559061,-4.619824413217652
9.616121606376508,0.4760027354103959,2.403654566732912e-05,No,181787.76490264307,181748.1992429263,1272.7391792978399,0.00860060089466605,Yes,3.1047394133964983,-4.619127945380215
9.641774705111297,0.4796738420806808,2.408010051912945e-05,No,183481.77981138235,183481.7800711326,1275.0454161049925,0.0007609976691098086,Yes,3.10552565426998,-4.618341704506733
9.648187979794992,0.4805745447820425,2.4091575029757236e-05,No,183913.90697603198,183913.90697996496,1275.6529933934005,-0.0011542585069525269,Yes,3.1057325524808332,-4.618134806295879
9.65460125447869,0.4814677707404307,2.4104122614919423e-05,No,184351.69303045396,184351.7065793935,1276.3173901608275,-0.0030505093431297536,Yes,3.105958686654072,-4.61790867212264
9.661014529162387,0.4823531963776001,2.411743267931433e-05,No,184792.65872945503,184792.71626453125,1277.0221603332493,-0.004927181095543297,Yes,3.106198433697983,-4.61766892507873
9.67384107852978,0.4840993523753026,2.414591531974941e-05,No,185680.72447589255,185680.71011450177,1278.5303209863355,-0.008619492373570792,Yes,3.1067110319954434,-4.617156326781269
9.699494177264569,0.4874838230733039,2.420975518009087e-05,No,187473.21170604922,187473.2117075665,1281.9106524441918,-0.015743921193857757,Yes,3.107857756459949,-4.616009602316764
9.75080037473414,0.4937489177528146,2.436012658551248e-05,No,191061.99556304497,191061.99621792606,1289.872843924405,-0.028823485262793238,Yes,3.1105468995210774,-4.613320459255635
9.802106572203712,0.4992041567591427,2.452760495287978e-05,No,194493.25508724642,194501.04955357962,1298.7408519478258,-0.04009919384847355,Yes,3.1135225014987684,-4.610344857277944
9.853412769673284,0.5036838680308559,2.469294300131352e-05,No,197559.71749441442,197569.32175270567,1307.4955297198608,-0.04927729008561088,Yes,3.1164402127046533,-4.607427146072059
9.904718967142855,0.5070223795065221,2.4853114129251213e-05,No,200166.725686534,200168.87889634466,1315.9766181732534,-0.056064017108919006,Yes,3.1192481729492556,-4.604619185827457
9.956025164612429,0.509054019124709,2.4982348460503656e-05,No,201982.92683505293,202015.98987903915,1322.8195979829065,-0.06016561805311073,Yes,3.121500620496869,-4.602366738279843
10.007331362082002,0.5096285691662583,2.507874547311878e-05,No,203039.67096791288,203024.37737953427,1327.9238361883695,-0.0613063937227757,Yes,3.123173166544285,-4.600694192232427
10.058637559551576,0.5095604914899096,2.5111977516438417e-05,No,203282.35232435845,203266.25005397122,1329.6834785315918,-0.060380484585695164,Yes,3.123748272631047,-4.600119086145665
10.109943757021147,0.5093927836383483,2.509378836811477e-05,No,203116.54640150708,203052.16886266004,1328.7203600356995,-0.05809413305859078,Yes,3.12343358976728,-4.600433769009433
10.16124995449072,0.5091337221339592,2.5030201197347048e-05,No,202418.70513346622,202434.6342089123,1325.3534085337296,-0.054552776244392386,Yes,3.122331699337649,-4.6015356594390635
10.263862349429868,0.5083746442562372,2.4760030581635704e-05,No,199951.17812830477,199951.0420254084,1311.0478285028094,-0.044126795166434,Yes,3.1176185355313937,-4.606248823245319
10.366474744369016,0.5073494700358224,2.433273005975249e-05,No,196116.91724266234,196104.09507498602,1288.4221932280045,-0.029946038175260363,Yes,3.1100581969870253,-4.613809161789687
10.46908713930816,0.5061244116517932,2.3829631231431635e-05,No,191536.3292272957,191585.75730887085,1261.7830247416146,-0.012854002094311784,Yes,3.1009846803764822,-4.622882678400231
10.571699534247307,0.5047656812832286,2.329766527319685e-05,No,186727.03739201944,186806.00577924488,1233.6153368188693,0.006305816252971434,Yes,3.091179760070047,-4.632687598706665
10.63524516630993,0.5038862121121989,2.2968520613624233e-05,No,183825.57784274282,183845.96894895515,1216.1870711399072,0.01883859530089018,Yes,3.0850003822681993,-4.638866976508513
10.698790798372553,0.5029965969012439,2.2658545244912956e-05,No,181047.1805899863,181044.6449563875,1199.7738226708325,0.031640566986166414,Yes,3.079099382027481,-4.644767976749232
10.762336430435171,0.5021125608265621,2.237289913539988e-05,No,178425.32256684173,178448.11469426888,1184.6488126122765,0.04451140356916111,Yes,3.073589623469037,-4.650277735307676
10.88942769456041,0.5004241267908116,2.185233153681237e-05,No,173709.92671053048,173709.92564789255,1157.0846697705765,0.06965836046974823,Yes,3.0633651396507378,-4.660502219125974
11.016518958685651,0.49894603587036496,2.1437476357093814e-05,No,169865.87245853143,169908.79051986712,1135.118017479098,0.0927307853011282,Yes,3.0550410171902938,-4.668826341586419
11.130901096398363,0.4978232034769123,2.1088126640033213e-05,No,166763.6933956326,166763.78729707125,1116.6198905712872,0.11377453807204185,Yes,3.0479053597569443,-4.675961999019768
11.359665371823795,0.4958649222398766,2.0442244161724888e-05,No,161020.1648757292,161020.27789443778,1082.4203035448402,0.16035636342682344,Yes,3.034395929963169,-4.689471428813544
11.528023729689805,0.4943929658785482,2.003177690124869e-05,No,157333.3073859789,157318.70808314806,1060.6859923231914,0.19642864906156626,Yes,3.025586833491146,-4.698280525285567
11.696382087555813,0.4926366492964514,1.9687457543877372e-05,No,154113.25907892876,154065.34675970738,1042.4542238160893,0.232109402941658,Yes,3.0180569933526913,-4.705810365424021
12.033098803287835,0.4871549464029604,1.9224100505517287e-05,No,149089.3620848865,148765.33974355238,1017.9193898642261,0.29568004299070383,Yes,3.0077133871134145,-4.7161539716632985
