AirExchangeRate,AttenuationGroundwater,AttenuationSubslab,Peclet,Contaminated,SubslabConcentration,RelativeAirEntryRate,EntryRate,Gravel,Pathway,IndoorConcentration,IndoorOutdoorPressure,logIndoorConcentration,logAttenuationSubslab,logAttenuationGroundwater,logSubslabConcentration
1.1,4.3486098408821106e-07,1.8886858556489696e-06,0.007966880632195392,Yes,0.001601844623322196,2.0969084764117717e-05,1.3879718945733863,No,Yes,23.025963033838067,-3,1.362217803104953,-5.723840272096067,-6.361649555671759,-2.795379612163377
1.1,4.2784895388118624e-07,1.8613125710891083e-06,0.005311253754796911,Yes,0.001599192835082058,1.3979389842745187e-05,1.365591177039822,No,Yes,22.65467484233097,-2,1.3551578332247693,-5.730180689469738,-6.368709525551943,-2.7960991646698896
1.1,4.2088732351952896e-07,1.8341735373664455e-06,0.002655626877398457,Yes,0.0015964491637859065,6.989694921372592e-06,1.3433713237166895,No,Yes,22.286055331204054,-1,1.3480332044381973,-5.736559576651163,-6.3758341543385155,-2.796844906275037
1.1,4.0769686999700495e-07,1.7836266049749871e-06,-0.0026556268773984554,Yes,0.001590241587915746,-6.9896949213725936e-06,1.3012705617816394,No,Yes,21.587618574809305,1,1.334204736041361,-5.748696058240095,-6.389662622735352,-2.798536893082941
1.1,4.014796598463329e-07,1.7602560618242946e-06,-0.005311253754796912,Yes,0.0015867823837698472,-1.3979389842745187e-05,1.2814267191111333,No,Yes,21.25841624040549,2,1.3275309062986014,-5.754424151419701,-6.396336452478111,-2.799482629646094
1.1,3.953279322754524e-07,1.7371637015826911e-06,-0.007966880632195392,Yes,0.001583238806426263,-2.096908476411773e-05,1.2617918811194924,No,Yes,20.932681219733688,3,1.320824859698302,-5.760159253893642,-6.403042499078411,-2.8004535737724527
1.1,3.892390117557417e-07,1.714316834868396e-06,-0.010622507509593829,Yes,0.0015796284341293304,-2.7958779685490374e-05,1.2423575081615092,No,Yes,20.61027184309852,4,1.3140837200266189,-5.765908909998083,-6.409783638750094,-2.801445057339695
1.1,3.8321408855528304e-07,1.6917080764484056e-06,-0.013278134386992409,Yes,0.001575961907255906,-3.494847460686285e-05,1.223127399287208,No,Yes,20.29125113539729,5,1.3073088259612562,-5.7716745773050935,-6.416558532815457,-2.8024542840980473
1.3,3.799407725185833e-07,1.6449376008229109e-06,0.013278134386992409,Yes,0.0016069269883600091,3.4948474606862875e-05,1.4331669892018986,No,Yes,20.117928494790316,-5,1.3035832602011117,-5.783850571958553,-6.420284098575601,-2.7940038552047324
1.3,3.739310062445722e-07,1.6214483960581885e-06,0.010622507509593829,Yes,0.0016044198193843672,2.7958779685490388e-05,1.4104976700350242,No,Yes,19.79971034892116,-4,1.2966588369895444,-5.7900968685536345,-6.427208521787168,-2.794681981821218
1.3,3.6795929422848624e-07,1.5981188009337437e-06,0.007966880632195392,Yes,0.001601844623322196,2.0969084764117717e-05,1.387971894573386,No,Yes,19.483507182478363,-3,1.2896671359563414,-5.796390939244678,-6.434200222820372,-2.795379612163377
1.3,3.6202603789946534e-07,1.5749567909215538e-06,0.005311253754796914,Yes,0.001599192835082058,1.3979389842745184e-05,1.365591177039823,No,Yes,19.169340251203128,-2,1.2826071660761575,-5.80273135661835,-6.441260192700555,-2.7960991646698896
1.3,3.5613542759344737e-07,1.5519929931562225e-06,0.002655626877398456,Yes,0.001596449163785907,6.9896949213725936e-06,1.3433713237166889,No,Yes,18.857431434095727,-1,1.2754825372895853,-5.809110243799775,-6.448384821487127,-2.796844906275037
1.3,3.4497427461285056e-07,1.509222511901913e-06,-0.002655626877398457,Yes,0.001590241587915746,-6.9896949213725936e-06,1.3012705617816398,No,Yes,18.26644648637712,1,1.2616540688927496,-5.821246725388706,-6.462213289883963,-2.798536893082941
1.3,3.397135583315125e-07,1.4894474369282499e-06,-0.005311253754796912,Yes,0.0015867823837698472,-1.3979389842745187e-05,1.281426719111133,No,Yes,17.987890664958503,2,1.2549802391499898,-5.826974818568313,-6.468887119626722,-2.799482629646094
1.3,3.345082503869212e-07,1.4699077474930462e-06,-0.007966880632195392,Yes,0.001583238806426263,-2.096908476411773e-05,1.2617918811194933,No,Yes,17.712268724390047,3,1.2482741925496903,-5.832709921042254,-6.475593166227022,-2.8004535737724527
