% Model,transport_soil_type.mph
% Version,COMSOL 5.3.1.275
% Date,"Mar 26 2020, 11:39"
% Table,Probe Table 1 {tbl1} - 
% matsw.comp1.sw1,depth (m),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1),Q_ck (L/h)
7,0.15,-14.999999999999993,5.33777902295208E-7,1.3138999999999996,15.017833178523583,200.24686100003856,0.009891754561768799,1.9495164478062043E9,7920.000000000002,0.10000000000000006,6.001126138137877,246151.06664219746,1313900.0000000007,0.9381736960977951,0.044620187730475054,0.9372355224016745
8,1,-14.999999999999966,5.33777902295208E-7,1.3138999999999996,14.860961946062625,140.37831668341516,0.009891754561768789,1.806551908300412E9,7339.1999999999925,0.09999999999999998,5.9384403936465056,246151.0666421971,1313899.999999999,0.708746927990309,0.03370849248051029,0.7080381810623043
8,0.15,-14.999999999999993,5.33777902295208E-7,1.3138999999999996,15.119309182896187,185.56209119336899,0.009891754561768799,1.8065519083004153E9,7339.2000000000035,0.10000000000000006,6.041675949485169,246151.06664219746,1313900.0000000007,1.0865840283074824,0.051678685439249146,1.0854974442791485
9,1,-14.999999999999966,5.33777902295208E-7,1.3138999999999996,14.837974920239086,131.28907315715097,0.009891754561768789,1.6895809214320414E9,6863.999999999996,0.09999999999999998,5.929254778127419,246151.0666421971,1313899.999999999,0.6751280231065353,0.0321095541885433,0.6744528950834151
9,0.15,-14.999999999999993,5.33777902295208E-7,1.3138999999999996,15.04789538809764,173.54727953336675,0.009891754561768799,1.6895809214320438E9,6864,0.10000000000000007,6.01313899708367,246151.06664219746,1313900.0000000007,0.9821401740590806,0.04671126373126271,0.9811580338849977
10,1,-14.999999999999966,5.33777902295208E-7,1.3138999999999996,16.19493859563305,127.24940936770021,0.009891754561768789,1.6375938161572096E9,6652.7999999999965,0.09999999999999998,6.4714974628148365,246151.0666421971,1313899.999999999,2.6597098078035444,0.12649763196985758,2.657050097995687
10,0.15,-14.999999999999993,5.33777902295208E-7,1.3138999999999996,17.28873941240885,168.20736324003232,0.009891754561768799,1.6375938161572108E9,6652.800000000002,0.10000000000000006,6.908580269198408,246151.06664219746,1313900.0000000007,4.2594115657961344,0.20258055035830896,4.2551521542302355
11,1,-14.999999999999966,5.33777902295208E-7,1.3138999999999996,14.90934631110226,148.45764426231702,0.009891754561768789,1.910526118850079E9,7761.599999999993,0.09999999999999998,5.957774785916342,246151.0666421971,1313899.999999999,0.7795098608993088,0.03707402635114809,0.7787303510383937
11,0.15,-14.999999999999993,5.33777902295208E-7,1.3138999999999996,15.132445628055686,196.24192378003775,0.009891754561768799,1.9105261188500803E9,7761.600000000004,0.10000000000000006,6.046925272970905,246151.06664219746,1313900.0000000007,1.1057962962936938,0.05259243414893754,1.1046904999973732
12,1,-14.999999999999966,5.33777902295208E-7,1.3138999999999996,15.040766067689876,134.3188209992391,0.009891754561768789,1.7285712503881655E9,7022.399999999993,0.09999999999999998,6.010290120648753,246151.0666421971,1313899.999999999,0.97171342522629,0.046215360368939994,0.9707417118010441
12,0.15,-14.999999999999993,5.33777902295208E-7,1.3138999999999996,15.353383943499841,177.55221675336753,0.009891754561768799,1.7285712503881676E9,7022.4000000000015,0.10000000000000006,6.135212223822387,246151.06664219746,1313900.0000000007,1.4289222312932561,0.06796052636921104,1.4274933090619282
