% Model,cpm.mph
% Version,COMSOL 5.3.1.275
% Date,"Jul 26 2019, 14:44"
% Table,"Table 8 {tbl8} - Surface Average 1 {av1} (p, comp1.j_ck, c, dl.w)"
% Soil switch index,dp_bldg (Pa),Pressure (Pa),Probe variable j_ck (mol/(m^2*s)),Concentration (mol/m^3),"Darcy's velocity field, Z component (m/s)"
2,-15,-15.000000000000002,2.329471833447788E-8,3.5746466356833603E-6,2.505311923592708E-4
2,-14,-13.999999999999977,2.2740710657784497E-8,3.5252128282376847E-6,2.338250883495942E-4
2,-13,-13,2.2106574773052895E-8,3.4622286993111102E-6,2.171195597673213E-4
2,-12,-11.999999999999954,2.137823068527299E-8,3.3830335907255245E-6,2.0041460649938408E-4
2,-11,-10.999999999999995,2.0562786008151152E-8,3.2850560427874134E-6,1.837102284322402E-4
2,-10,-9.999999999999982,1.9592907256271634E-8,3.1635438163482678E-6,1.670064254518741E-4
2,-9,-9,1.8476903107268086E-8,3.0155091021803443E-6,1.5030319744379776E-4
2,-8,-7.999999999999999,1.7198199397017505E-8,2.837493359512009E-6,1.3360054429304973E-4
2,-7,-6.9999999999999885,1.57420276800489E-8,2.6261511684094924E-6,1.1689846588419771E-4
2,-6,-5.999999999999977,1.4096588740507354E-8,2.378258652815061E-6,1.0019696210133629E-4
2,-5,-4.999999999999991,1.225561511528645E-8,2.091666804210856E-6,8.349603282809036E-5
2,-4,-3.9999999999999996,1.023399750892177E-8,1.7672319732652283E-6,6.679567794761246E-5
2,-3,-2.9999999999999885,8.076301915246741E-9,1.4113011030822228E-6,5.009589734258621E-5
2,-2,-1.9999999999999998,5.895076091998678E-9,1.0425566023342903E-6,3.3396690895224464E-5
2,-1,-0.9999999999999999,3.888966930566405E-9,6.958953123380659E-7,1.66980584872709E-5
2,0,0,2.2752720392893416E-9,4.119770688742072E-7,0
2,1,0.9999999999999999,1.1748396489091005E-9,2.1528552505677922E-7,-1.6697484685782333E-5
2,2,1.9999999999999998,5.415741377110303E-10,1.0046638051057092E-7,-3.339439568973837E-5
2,3,2.9999999999999885,2.277003886697065E-10,4.276888048210647E-8,-5.009073313199785E-5
2,4,3.9999999999999996,8.933693423144466E-11,1.699140756788973E-8,-6.678649713315802E-5
2,5,4.999999999999991,3.3350497303667124E-11,6.423893032400192E-9,-8.348168781428282E-5
2,6,5.999999999999977,1.1999468548030947E-11,2.341108370957767E-9,-1.0017630529690283E-4
2,7,6.9999999999999885,4.191798865943572E-12,8.285021079948316E-10,-1.1687034970301433E-4
2,8,7.999999999999999,1.4284354806310766E-12,2.860623113740265E-10,-1.335638211550781E-4
2,9,9,4.760065363568641E-13,9.660403651395858E-11,-1.5025671977602202E-4
2,10,9.999999999999982,1.5521976512227993E-13,3.1929381274399395E-11,-1.669490456892357E-4
2,11,10.999999999999995,4.9488224299882555E-14,1.0320183045601487E-11,-1.8364079901857588E-4
2,12,11.999999999999954,1.539314797167985E-14,3.254858202406221E-12,-2.0033197988836063E-4
2,13,13,4.6550410622857014E-15,9.981875463882298E-13,-2.1702258842337145E-4
2,14,13.999999999999977,1.3626313295859375E-15,2.9633361050737777E-13,-2.3371262474885336E-4
2,15,15.000000000000002,3.845264369489958E-16,8.479179851451713E-14,-2.5040208899051205E-4
3,-15,-15.000000000000002,1.5019737218587897E-8,2.641406742781555E-6,4.054271587602243E-5
3,-14,-13.999999999999977,1.4132186702364104E-8,2.4900995216499326E-6,3.783961853006923E-5
